config,mode,seed,completed,steps_executed,diverged,disposed,remaining_green,remaining_yellow,remaining_red,remaining_total,messages_total
C3_pipeline_strong,step2_communication,2101,True,72,False,7,0,0,0,0,110
C3_pipeline_strong,step3_orchestrator_nearest,2101,True,72,False,7,0,0,0,0,111
C3_pipeline_strong,step3_orchestrator_uncertainty,2101,True,80,False,7,0,0,0,0,104
C3_pipeline_strong,step1_no_communication,2102,True,143,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2102,True,94,False,7,0,0,0,0,110
C3_pipeline_strong,step3_orchestrator_nearest,2102,True,73,False,7,0,0,0,0,101
C3_pipeline_strong,step3_orchestrator_uncertainty,2102,True,81,False,7,0,0,0,0,115
C3_pipeline_strong,step1_no_communication,2103,True,188,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2103,True,88,False,7,0,0,0,0,95
C3_pipeline_strong,step3_orchestrator_nearest,2103,True,112,False,7,0,0,0,0,127
C3_pipeline_strong,step3_orchestrator_uncertainty,2103,True,93,False,7,0,0,0,0,119
C3_pipeline_strong,step1_no_communication,2104,True,115,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2104,True,90,False,7,0,0,0,0,97
C3_pipeline_strong,step3_orchestrator_nearest,2104,True,93,False,7,0,0,0,0,109
C3_pipeline_strong,step3_orchestrator_uncertainty,2104,True,84,False,7,0,0,0,0,99
C3_pipeline_strong,step1_no_communication,2105,True,124,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2105,True,115,False,7,0,0,0,0,127
C3_pipeline_strong,step3_orchestrator_nearest,2105,True,75,False,7,0,0,0,0,98
C3_pipeline_strong,step3_orchestrator_uncertainty,2105,True,88,False,7,0,0,0,0,105
C3_pipeline_strong,step1_no_communication,2106,True,177,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2106,True,82,False,7,0,0,0,0,100
C3_pipeline_strong,step3_orchestrator_nearest,2106,True,75,False,7,0,0,0,0,100
C3_pipeline_strong,step3_orchestrator_uncertainty,2106,True,85,False,7,0,0,0,0,104
C3_pipeline_strong,step1_no_communication,2107,True,185,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2107,True,90,False,7,0,0,0,0,106
C3_pipeline_strong,step3_orchestrator_nearest,2107,True,84,False,7,0,0,0,0,93
C3_pipeline_strong,step3_orchestrator_uncertainty,2107,True,98,False,7,0,0,0,0,99
C3_pipeline_strong,step1_no_communication,2108,True,116,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2108,True,84,False,7,0,0,0,0,102
C3_pipeline_strong,step3_orchestrator_nearest,2108,True,72,False,7,0,0,0,0,98
C3_pipeline_strong,step3_orchestrator_uncertainty,2108,True,82,False,7,0,0,0,0,102
C3_pipeline_strong,step1_no_communication,2109,True,140,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2109,True,84,False,7,0,0,0,0,107
C3_pipeline_strong,step3_orchestrator_nearest,2109,True,82,False,7,0,0,0,0,103
C3_pipeline_strong,step3_orchestrator_uncertainty,2109,True,84,False,7,0,0,0,0,108
C3_pipeline_strong,step1_no_communication,2110,True,130,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2110,True,94,False,7,0,0,0,0,111
C3_pipeline_strong,step3_orchestrator_nearest,2110,True,90,False,7,0,0,0,0,107
C3_pipeline_strong,step3_orchestrator_uncertainty,2110,True,92,False,7,0,0,0,0,112
C3_pipeline_strong,step1_no_communication,2111,True,177,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2111,True,94,False,8,0,0,0,0,105
C3_pipeline_strong,step3_orchestrator_nearest,2111,True,79,False,7,0,0,0,0,109
C3_pipeline_strong,step3_orchestrator_uncertainty,2111,True,73,False,7,0,0,0,0,103
C3_pipeline_strong,step1_no_communication,2112,True,140,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2112,True,129,False,7,0,0,0,0,145
C3_pipeline_strong,step3_orchestrator_nearest,2112,True,85,False,7,0,0,0,0,91
C3_pipeline_strong,step3_orchestrator_uncertainty,2112,True,88,False,7,0,0,0,0,111
C3_pipeline_strong,step1_no_communication,2113,True,147,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2113,True,105,False,7,0,0,0,0,123
C3_pipeline_strong,step3_orchestrator_nearest,2113,True,94,False,7,0,0,0,0,117
C3_pipeline_strong,step3_orchestrator_uncertainty,2113,True,106,False,7,0,0,0,0,124
C3_pipeline_strong,step1_no_communication,2114,True,237,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2114,True,85,False,7,0,0,0,0,98
C3_pipeline_strong,step3_orchestrator_nearest,2114,True,73,False,7,0,0,0,0,104
C3_pipeline_strong,step3_orchestrator_uncertainty,2114,True,91,False,7,0,0,0,0,108
C3_pipeline_strong,step1_no_communication,2115,True,154,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2115,True,82,False,7,0,0,0,0,102
C3_pipeline_strong,step3_orchestrator_nearest,2115,True,87,False,7,0,0,0,0,108
C3_pipeline_strong,step3_orchestrator_uncertainty,2115,True,86,False,7,0,0,0,0,113
C3_pipeline_strong,step1_no_communication,2116,True,170,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2116,True,101,False,7,0,0,0,0,109
C3_pipeline_strong,step3_orchestrator_nearest,2116,True,99,False,7,0,0,0,0,105
C3_pipeline_strong,step3_orchestrator_uncertainty,2116,True,165,False,7,0,0,0,0,143
C3_pipeline_strong,step1_no_communication,2117,True,149,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2117,True,83,False,7,0,0,0,0,96
C3_pipeline_strong,step3_orchestrator_nearest,2117,True,98,False,7,0,0,0,0,115
C3_pipeline_strong,step3_orchestrator_uncertainty,2117,True,99,False,7,0,0,0,0,121
C3_pipeline_strong,step1_no_communication,2118,True,132,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2118,True,80,False,7,0,0,0,0,97
C3_pipeline_strong,step3_orchestrator_nearest,2118,True,94,False,7,0,0,0,0,118
C3_pipeline_strong,step3_orchestrator_uncertainty,2118,True,80,False,7,0,0,0,0,109
C3_pipeline_strong,step1_no_communication,2119,True,355,False,7,0,0,0,0,0
C3_pipeline_strong,step2_communication,2119,True,139,False,8,0,0,0,0,144
C3_pipeline_strong,step3_orchestrator_nearest,2119,True,81,False,7,0,0,0,0,102
C3_pipeline_strong,step3_orchestrator_uncertainty,2119,True,88,False,7,0,0,0,0,121
C4_red_limited,step1_no_communication,3100,False,500,True,3,0,0,2,2,0
C4_red_limited,step2_communication,3100,True,345,False,6,0,0,0,0,304
C4_red_limited,step3_orchestrator_nearest,3100,True,105,False,5,0,0,0,0,72
C4_red_limited,step3_orchestrator_uncertainty,3100,True,113,False,5,0,0,0,0,69
C4_red_limited,step1_no_communication,3101,True,361,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3101,True,93,False,5,0,0,0,0,74
C4_red_limited,step3_orchestrator_nearest,3101,True,99,False,5,0,0,0,0,72
C4_red_limited,step3_orchestrator_uncertainty,3101,True,101,False,5,0,0,0,0,86
C4_red_limited,step1_no_communication,3102,True,205,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3102,True,103,False,5,0,0,0,0,70
C4_red_limited,step3_orchestrator_nearest,3102,True,99,False,5,0,0,0,0,92
C4_red_limited,step3_orchestrator_uncertainty,3102,True,105,False,5,0,0,0,0,80
C4_red_limited,step1_no_communication,3103,True,415,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3103,True,147,False,5,0,0,0,0,74
C4_red_limited,step3_orchestrator_nearest,3103,True,103,False,5,0,0,0,0,80
C4_red_limited,step3_orchestrator_uncertainty,3103,True,105,False,5,0,0,0,0,80
C4_red_limited,step1_no_communication,3104,False,500,True,4,0,0,1,1,0
C4_red_limited,step2_communication,3104,False,500,True,5,2,0,0,2,416
C4_red_limited,step3_orchestrator_nearest,3104,True,233,False,5,0,0,0,0,70
C4_red_limited,step3_orchestrator_uncertainty,3104,True,113,False,5,0,0,0,0,82
C4_red_limited,step1_no_communication,3105,True,330,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3105,False,500,True,5,2,0,0,2,496
C4_red_limited,step3_orchestrator_nearest,3105,True,104,False,5,0,0,0,0,73
C4_red_limited,step3_orchestrator_uncertainty,3105,True,100,False,5,0,0,0,0,74
C4_red_limited,step1_no_communication,3106,True,382,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3106,True,332,False,5,0,0,0,0,60
C4_red_limited,step3_orchestrator_nearest,3106,True,124,False,5,0,0,0,0,76
C4_red_limited,step3_orchestrator_uncertainty,3106,True,126,False,5,0,0,0,0,72
C4_red_limited,step1_no_communication,3107,True,211,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3107,False,500,True,5,2,0,0,2,394
C4_red_limited,step3_orchestrator_nearest,3107,True,99,False,5,0,0,0,0,79
C4_red_limited,step3_orchestrator_uncertainty,3107,True,97,False,5,0,0,0,0,75
C4_red_limited,step1_no_communication,3108,True,235,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3108,True,291,False,6,0,0,0,0,284
C4_red_limited,step3_orchestrator_nearest,3108,True,97,False,5,0,0,0,0,69
C4_red_limited,step3_orchestrator_uncertainty,3108,True,101,False,5,0,0,0,0,66
C4_red_limited,step1_no_communication,3109,True,322,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3109,True,144,False,5,0,0,0,0,80
C4_red_limited,step3_orchestrator_nearest,3109,True,104,False,5,0,0,0,0,69
C4_red_limited,step3_orchestrator_uncertainty,3109,True,110,False,5,0,0,0,0,83
C4_red_limited,step1_no_communication,3110,True,181,False,5,0,0,0,0,0
C4_red_limited,step2_communication,3110,False,500,True,4,4,0,0,4,366
C4_red_limited,step3_orchestrator_nearest,3110,True,119,False,5,0,0,0,0,70
